student-id,e-score,a-score,c-score,rel-1,rel-2,rel-3,rel-4,rel-5
112,11,15,21,4,1,7,4,4
113,40,44,39,3,9,3,7,0
114,34,68,95,8,1,10,3,2
115,33,94,35,5,1,5,6,3
116,39,18,98,1,6,8,5,6
117,19,16,57,5,0,3,8,7
118,29,54,56,4,6,10,6,8
119,27,95,60,1,10,10,4,10
120,24,77,63,10,3,2,1,1
121,10,100,9,3,1,0,8,4
122,34,1,53,10,6,3,0,5
123,12,14,50,2,10,5,9,4
124,31,95,98,0,2,5,6,0
125,27,94,11,0,5,4,8,9
126,11,20,81,9,0,3,6,1
127,23,58,22,6,1,0,0,7
128,35,24,22,10,8,10,0,10
129,20,10,29,6,8,2,1,5
130,15,38,86,8,10,2,6,4
131,28,75,61,6,8,8,10,1
132,12,78,94,6,4,1,3,6
133,14,83,98,2,3,7,8,8
134,36,65,60,0,3,0,3,4
135,30,56,92,6,7,8,5,3
136,25,30,64,4,2,9,5,4
137,17,73,89,0,9,4,2,9
138,31,96,81,6,3,4,6,0
139,40,10,34,1,1,10,5,5
140,37,24,16,3,1,2,5,0
141,19,43,23,0,5,1,10,0
142,22,34,56,10,7,6,6,3
143,37,99,85,1,9,2,3,6
144,14,32,64,9,8,4,3,1
145,12,23,61,0,7,5,9,9
146,10,73,35,10,2,2,3,6
147,40,74,27,4,4,8,5,1
148,21,83,3,5,9,1,8,8
149,29,26,10,6,7,1,9,7
150,18,65,63,6,0,3,9,1
151,13,69,100,8,9,3,0,6
152,34,84,69,8,3,5,8,9
153,16,19,3,2,2,3,2,5
154,23,91,5,7,3,7,8,2
155,28,29,80,0,0,10,3,8
156,11,57,80,4,10,2,9,7
157,22,66,66,6,4,10,4,5
158,28,8,24,0,7,5,6,2
159,23,19,99,5,9,5,2,1
160,13,91,85,2,6,9,7,7
161,20,43,77,5,10,0,9,3
162,21,100,84,8,4,0,9,1
163,19,94,49,2,9,0,2,9
164,15,75,100,8,6,4,10,1
165,39,86,34,4,6,3,5,1
166,16,6,17,0,7,5,2,0
167,34,62,87,5,2,8,1,2
168,10,43,98,4,6,0,5,7
169,15,88,0,6,10,4,0,8
170,23,61,100,3,5,0,0,3
171,18,47,40,1,6,5,3,0
172,11,99,46,4,0,9,4,6
173,16,54,56,2,10,3,5,2
174,13,60,37,6,1,1,3,10
175,20,6,34,10,10,0,1,3
176,25,80,73,0,8,1,10,1
177,25,27,83,4,10,7,2,3
178,23,36,91,8,1,2,6,10
179,18,40,73,10,1,9,10,3
180,30,77,93,6,10,3,8,7
181,18,73,89,3,1,9,6,10
182,39,75,1,9,2,9,5,10
183,36,28,94,0,5,7,8,9
184,16,21,81,10,10,4,1,8
185,16,9,31,9,7,5,8,2
186,37,4,80,4,10,1,6,9
187,27,85,37,10,7,2,0,8
188,19,24,59,1,3,6,9,8
189,16,43,52,8,1,5,3,8
190,32,54,12,7,5,9,5,8
191,14,99,58,9,7,7,5,9
192,10,5,30,0,10,7,2,4
193,38,7,86,8,7,5,8,3
194,16,10,18,3,6,0,2,4
195,35,68,17,2,4,0,4,2
196,11,54,33,3,8,9,2,0
197,22,18,90,3,10,9,4,6
198,22,22,98,2,0,8,6,0
199,20,97,53,5,9,9,8,2
200,13,97,49,6,9,5,6,6
