student-id,efficacy-score,agreeableness-score,conscientiousness-score,relevant-course-1-number,relevant-course-2-number,relevant-course-3-number,relevant-course-4-number,relevant-course-5-number
73,26,98,75,7,2,8,10,5
74,26,11,27,0,9,2,1,6
75,19,43,11,5,3,3,4,0
76,36,10,83,8,2,0,5,9
77,18,13,23,2,2,3,6,1
78,19,65,24,4,2,3,4,8
79,13,49,10,3,6,7,1,2
80,12,62,82,1,4,6,7,1
81,34,80,6,10,0,9,6,5
82,34,45,14,1,10,10,5,5
83,16,63,16,10,10,3,5,5
84,36,12,69,0,1,10,3,7
85,15,19,17,1,9,4,4,3
86,31,55,89,5,5,3,5,1
87,25,100,48,2,6,7,4,0
88,22,65,61,4,7,8,7,4
89,27,18,75,6,0,6,0,5
90,31,57,17,2,3,5,4,9
91,13,76,56,2,9,8,10,4
92,31,68,53,9,4,8,0,8
93,25,88,64,7,10,6,1,10
94,27,58,0,0,2,9,2,7
95,28,72,37,1,7,2,8,5
96,31,92,10,2,8,1,8,0
97,13,36,62,8,1,10,10,1
98,12,27,15,7,9,8,0,3
99,26,52,15,4,2,2,1,9
100,15,100,23,7,1,9,6,5
101,22,42,14,9,0,0,9,1
102,23,36,67,5,5,1,0,4
103,33,21,95,5,2,3,8,3
104,33,65,73,7,6,1,3,1
105,19,31,52,8,6,8,0,9
106,26,76,79,0,8,8,4,0
107,14,67,75,6,9,2,1,4
108,11,55,27,0,4,7,2,9
109,24,63,67,8,1,9,4,2
110,38,44,96,8,3,6,9,10
111,28,6,84,2,6,2,10,5
112,20,6,83,2,8,8,6,1
113,14,34,5,1,10,5,7,4
114,10,98,52,5,0,3,2,10
115,35,82,10,8,10,3,3,6
116,32,78,7,0,0,10,6,10
117,38,75,54,7,0,8,1,6
118,36,13,31,10,7,8,8,4
119,38,47,94,4,2,2,1,4
120,31,54,63,8,8,9,5,3
121,18,5,32,9,1,3,4,3
122,33,46,84,9,9,5,5,2
123,12,88,32,0,10,0,3,4
124,38,12,34,7,0,2,0,8
125,10,30,87,3,3,3,10,2
126,39,97,95,0,0,3,0,10
127,25,82,38,9,1,5,0,9
128,23,42,66,9,3,0,1,0
129,33,33,99,0,8,3,6,8
130,23,9,91,3,9,0,0,0
131,33,86,53,2,8,3,8,0
132,26,13,30,2,8,6,9,9
133,21,7,36,0,5,10,7,5
134,18,97,21,9,3,5,5,8
135,37,26,57,6,7,6,6,4
136,13,74,34,10,0,0,2,6
137,33,24,86,9,7,4,10,9
138,33,32,48,5,0,9,0,9
139,36,84,12,2,3,10,2,7
140,15,0,49,6,10,5,6,0
141,29,1,74,1,7,3,10,2
142,35,40,87,3,8,3,2,8
143,18,16,16,10,2,5,8,2
144,15,24,71,2,5,3,0,3
145,19,39,88,6,3,9,8,1
146,36,26,6,2,3,8,0,10
147,33,68,77,1,2,7,9,10
148,31,9,82,4,9,6,4,7
149,29,76,57,7,7,9,10,10
150,31,7,17,10,1,7,10,5
151,40,78,58,4,2,2,8,5
152,31,71,6,2,5,5,7,10
153,13,4,4,3,7,9,10,3
154,27,74,77,7,0,3,1,10
155,20,65,45,9,3,4,3,6
156,35,41,89,6,9,0,2,6
157,14,36,0,7,10,9,2,3
158,31,1,95,2,6,9,0,3
159,21,55,80,0,3,6,9,4
160,23,19,34,2,10,4,5,3
161,24,5,40,9,1,5,4,5
162,19,31,80,7,4,7,7,1
163,35,67,91,4,3,0,10,7
164,40,93,7,9,3,6,1,10
165,18,77,5,8,7,10,4,5
166,31,8,43,0,10,8,8,9
167,15,3,78,9,9,9,10,9
168,20,99,37,1,2,3,7,5
169,19,91,49,6,3,9,3,7
170,17,32,74,3,3,4,5,10
171,36,42,43,9,9,1,4,4
172,40,32,84,1,1,0,5,8
173,13,6,19,5,4,10,5,2
174,12,18,100,7,1,2,0,5
175,36,44,22,7,8,7,10,9
176,11,93,46,1,6,5,5,2
177,29,16,24,8,5,9,7,1
178,39,79,16,6,10,3,2,3
179,35,96,91,4,5,2,2,1
180,16,24,71,6,0,7,8,6
181,40,70,94,9,7,8,9,7
182,19,7,8,0,7,2,6,7
183,32,66,83,4,4,9,4,3
184,21,40,80,5,1,10,0,4
185,21,3,65,2,7,7,6,9
186,18,91,79,6,4,9,2,2
187,16,82,40,6,3,6,8,3
188,32,34,35,3,0,4,9,1
189,36,40,33,0,6,5,4,7
190,23,26,68,9,3,8,7,9
191,27,62,43,3,6,6,3,8
192,40,63,66,2,8,9,2,9
193,25,35,30,4,9,10,4,6
194,11,20,9,2,7,8,4,9
195,26,59,97,1,2,2,2,0
196,26,60,38,10,6,5,6,1
197,27,3,47,0,3,3,4,1
198,19,6,85,7,7,0,5,6
199,11,52,16,4,4,0,4,4
200,37,44,81,8,0,2,7,2
